size, seq_time, par_time
10,909,1706
20,894,5127
30,730,4394
40,3025,16781
50,5430,22092
60,4641,39024
70,7505,59508
80,11212,90147
90,15355,108129
100,32262,229770
110,72423,370581
120,53480,363087
130,102558,738607
140,159099,716080
150,148914,830021
160,104555,796173
170,189830,617081
180,125812,812485
190,151701,965042
200,180648,968236
210,205927,1.23243e+06
220,237655,1.5369e+06
230,284969,1.6785e+06
240,310767,1.8038e+06
250,354601,2.12975e+06
260,389301,2.31372e+06
270,462501,2.3928e+06
280,497768,2.66124e+06
290,546774,2.94225e+06
300,631035,3.43186e+06
310,663962,4.7371e+06
320,733599,4.38227e+06
330,830056,4.91994e+06
340,907268,4.87802e+06
350,955290,5.8901e+06
360,1.03444e+06,7.46835e+06
370,1.16992e+06,6.82474e+06
380,1.21204e+06,8.45716e+06
390,1.30947e+06,7.14275e+06
400,1.46616e+06,9.91086e+06
410,1.56562e+06,8.4112e+06
420,1.72349e+06,9.58528e+06
430,2.10024e+06,1.03241e+07
440,1.90244e+06,1.08592e+07
450,2.23469e+06,1.17389e+07
460,2.46335e+06,1.21725e+07
470,2.29576e+06,1.23581e+07
480,2.48136e+06,1.45572e+07
490,2.99468e+06,1.4684e+07
500,2.89749e+06,1.49959e+07
