size, seq_time, par_time
10,85,1575
20,262,3139
30,638,1020
40,602,828
50,1278,1512
60,2167,3160
70,3604,4782
80,3067,11640
90,7400,33984
100,8231,23563
110,14214,41231
120,18428,26926
130,40341,53483
140,30989,51307
150,42131,88859
160,55997,63365
170,54574,93400
180,84952,78705
190,100021,83541
200,90911,102814
210,90157,113723
220,135283,102738
230,70978,97838
240,97258,113629
250,295046,586853
260,290469,374647
270,255737,247256
280,268455,268709
290,199800,305780
300,283295,202898
310,176289,231538
320,245697,257180
330,286612,276599
340,309742,350830
350,306292,326382
360,336932,397176
370,335755,422956
380,456047,440815
390,424232,472431
400,531317,537808
410,522425,581420
420,579037,683914
430,637703,699597
440,781378,734598
450,694112,874812
460,1.42783e+06,929186
470,894895,904695
480,1.12612e+06,1.12157e+06
490,1.15294e+06,1.06e+06
500,1.27967e+06,1.12912e+06
