size, seq_time, par_time
50,52,686
100,268,474
150,686,492
200,854,917
250,1039,875
300,1767,1318
350,862,726
400,1037,843
450,2785,1774
500,1915,1242
550,1906,1422
600,2344,1599
650,2694,1996
700,3080,2147
750,3614,3126
800,4079,2822
850,4681,3086
900,5186,3374
950,5965,3917
1000,6273,4349
1050,6995,8300
1100,12532,9393
1150,13421,12225
1200,14436,14765
1250,16448,12044
1300,17100,13110
1350,18373,14028
1400,19911,15211
1450,21236,16514
1500,23361,19010
1550,24075,18449
1600,26256,21744
1650,27645,26005
1700,29022,22430
1750,31181,24309
1800,33365,24764
1850,34462,26118
1900,37794,31277
1950,40988,29671
2000,88253,64833
2050,41985,35012
2100,80199,61936
2150,61457,73662
2200,122801,247000
2250,160613,163686
2300,127589,237976
2400,743436,372006
2500,567060,725382
3000,1.05176e+06,420279
5000,2.49836e+06,1.89662e+06
