size, seq_time, par_time
50,58,308
100,144,372
150,346,462
200,720,1867
250,773,1133
300,877,1273
350,1332,3984
400,1580,2182
450,1996,3629
500,2650,3272
550,3847,5828
600,4015,4816
650,4843,6851
700,5332,6778
750,5939,7407
800,6892,8194
850,7510,9093
900,8445,10302
950,9212,11286
1000,10448,16331
1050,13222,14228
1100,14114,19824
1150,13519,19255
1200,15367,20704
1250,16668,21972
1300,18233,22801
1350,18896,24215
1400,20482,25838
1450,22025,30679
1500,23340,29666
1550,24896,31679
1600,32995,47403
1650,36690,58241
1700,37773,40688
1750,31509,61125
1800,55424,74911
1850,41532,58785
1900,36463,45938
1950,38033,54481
2000,43673,51517
2050,42250,52762
2100,44843,65053
2150,77380,65357
2200,51047,61982
2250,52708,64824
2300,54538,68652
2400,58895,74388
2500,68144,86057
3000,146741,183974
5000,261408,324366
